Name,Value,Value Type,Type,Discount Class
DIANA40,-40,percentage,Amount Off,order
LAURAMICHELLE40,-40,percentage,Amount Off,order
Sayana40,-40,percentage,Amount Off,order
susuu40,-40,percentage,Amount Off,order
ZOE40,-40,percentage,Amount Off,order
daisy40,-40,percentage,Amount Off,order
HiSophie40,-40,percentage,Amount Off,order
jessy40,-40,percentage,Amount Off,order
IVONNE40,-40,percentage,Amount Off,order
ANNA40,-40,percentage,Amount Off,order
danni40,-40,percentage,Amount Off,order
dounia40,-40,percentage,Amount Off,order
sepideh40,-40,percentage,Amount Off,order
heysarah40,-40,percentage,Amount Off,order
KRISTIN40,-40,percentage,Amount Off,order
JULIAGERHARD40,-40,percentage,Amount Off,order
elisa40,-40,percentage,Amount Off,order
TAMI40,-40,percentage,Amount Off,order
FITCARO40,-40,percentage,Amount Off,order
Constantlyk40,-40,percentage,Amount Off,order
CORINNA40,-40,percentage,Amount Off,order
COSIMA40,-40,percentage,Amount Off,order
KATHIII40,-40,percentage,Amount Off,order
FITEVA40,-50,percentage,Amount Off,order
NEELE40,-40,percentage,Amount Off,order
DARYA40,-40,percentage,Amount Off,order
chewbacca40,-40,percentage,Amount Off,order
wunderbar40,-40,percentage,Amount Off,order
annisofia40,-40,percentage,Amount Off,order
lilawolke40,-40,percentage,Amount Off,order
DIJANA40,-40,percentage,Amount Off,order
DJANA40,-40,percentage,Amount Off,order
GINAWOHNEN40,-40,percentage,Amount Off,order
STELLA40,-40,percentage,Amount Off,order
ARGJENDA40,-40,percentage,Amount Off,order
ZULAL40,-40,percentage,Amount Off,order
annisophia40,-40,percentage,Amount Off,order
BIANKA40,-40,percentage,Amount Off,order
PETEK40,-40,percentage,Amount Off,order
BUONA40,-40,percentage,Amount Off,order
FASHIONHIPPIE40,-40,percentage,Amount Off,order
KATESDIARY40,-40,percentage,Amount Off,order
SHOPPINATOR40,-40,percentage,Amount Off,order
LISSY40,-40,percentage,Amount Off,order
melisabella40,-40,percentage,Amount Off,order
HIMAREN40,-40,percentage,Amount Off,order
FASHION,-35,percentage,Amount Off,order
laurajoelle40,-40,percentage,Amount Off,order
katrin40,-40,percentage,Amount Off,order
CHIARA40,-40,percentage,Amount Off,order
SAMIRA40,-40,percentage,Amount Off,order
ZAYURI40,-40,percentage,Amount Off,order
SOPHIE40,-40,percentage,Amount Off,order
GOCHIARA40,-40,percentage,Amount Off,order
Nicolaca40,-40,percentage,Amount Off,order
GOJASMIN40,-40,percentage,Amount Off,order
ZARA40,-40,percentage,Amount Off,order
KiraFashion40,-40,percentage,Amount Off,order
GOCARINA40,-40,percentage,Amount Off,order
ACHTSAM40,-40,percentage,Amount Off,order
romy40,-40,percentage,Amount Off,order
DEBORA40,-40,percentage,Amount Off,order
ANNAMARIA40,-40,percentage,Amount Off,order
REALHANNAH40,-40,percentage,Amount Off,order
JULIAWULF40,-40,percentage,Amount Off,order
HEYMARIA40,-40,percentage,Amount Off,order
GIZEM40,-40,percentage,Amount Off,order
GOLDMARIE40,-40,percentage,Amount Off,order
HEYKIMI40,-40,percentage,Amount Off,order
MIRASWORLD40,-40,percentage,Amount Off,order
LARA40,-40,percentage,Amount Off,order
jessyhartel40,-40,percentage,Amount Off,order
NELE40,-40,percentage,Amount Off,order
svenja40,-40,percentage,Amount Off,order
ninalaureen40,-40,percentage,Amount Off,order
TIZIANA40,-40,percentage,Amount Off,order
PEPPERMINT40,-40,percentage,Amount Off,order
Morena40,-40,percentage,Amount Off,order
JULE40,-40,percentage,Amount Off,order
meggy40,-40,percentage,Amount Off,order
SCARYCHRISTIN40,-40,percentage,Amount Off,order
SCARYLISA40,-40,percentage,Amount Off,order
SPOOKYLENA40,-40,percentage,Amount Off,order
SCARYROMY40,-40,percentage,Amount Off,order
SPOOKYANNA40,-40,percentage,Amount Off,order
BOO40,-40,percentage,Amount Off,order
ANNCHRISTIN40,-40,percentage,Amount Off,order
SCARYSARAH40,-40,percentage,Amount Off,order
PEACHY40,-40,percentage,Amount Off,order
HALLOWEEN40,-40,percentage,Amount Off,order
ARIGONA40,-40,percentage,Amount Off,order
MARYY40,-40,percentage,Amount Off,order
mariecurie40,-40,percentage,Amount Off,order
Neslihan40,-40,percentage,Amount Off,order
HiLisa40,-40,percentage,Amount Off,order
DEBORAH40,-40,percentage,Amount Off,order
hasibe40,-40,percentage,Amount Off,order
MEXTEXX40,-40,percentage,Amount Off,order
sevda40,-40,percentage,Amount Off,order
Mia40,-40,percentage,Amount Off,order
ginger40,-40,percentage,Amount Off,order
juliet40,-40,percentage,Amount Off,order
GIULIA40,-40,percentage,Amount Off,order
fitjulia40,-40,percentage,Amount Off,order
Betul40,-40,percentage,Amount Off,order
Anja40,-40,percentage,Amount Off,order
HeyAnna40,-40,percentage,Amount Off,order
Larissa40,-40,percentage,Amount Off,order
SAM40,-40,percentage,Amount Off,order
HEYINES40,-40,percentage,Amount Off,order
CLAUDIA20,-20,percentage,Amount Off,order
DAMIANA40,-40,percentage,Amount Off,order
FRANZISKAELEA40,-40,percentage,Amount Off,order
KATARINA40,-40,percentage,Amount Off,order
MELINAOPHELIA40,-40,percentage,Amount Off,order
PEGGY40,-40,percentage,Amount Off,order
Candy40,-40,percentage,Amount Off,order
KARO40,-40,percentage,Amount Off,order
JENNIFER40,-40,percentage,Amount Off,order
SandraDiana40,-40,percentage,Amount Off,order
Ilkay40,-40,percentage,Amount Off,order
DANICA40,-40,percentage,Amount Off,order
Ilona40,-40,percentage,Amount Off,order
anniju40,-40,percentage,Amount Off,order
enisa40,-40,percentage,Amount Off,order
INESLOVE40,-40,percentage,Amount Off,order
MARISSA40,-40,percentage,Amount Off,order
JESSICA40,-40,percentage,Amount Off,order
PAULINA40,-40,percentage,Amount Off,order
jessykrefft40,-40,percentage,Amount Off,order
nelefashion40,-40,percentage,Amount Off,order
heysvenja40,-40,percentage,Amount Off,order
VERONIKA40,-40,percentage,Amount Off,order
VERONIKALOVE,-40,percentage,Amount Off,order
dounialove,-40,percentage,Amount Off,order
ANNALOVE,-40,percentage,Amount Off,order
faunitalove,-40,percentage,Amount Off,order
gingerlove,-40,percentage,Amount Off,order
geridlove,-40,percentage,Amount Off,order
ianalove,-40,percentage,Amount Off,order
jannelove,-40,percentage,Amount Off,order
julietlove,-40,percentage,Amount Off,order
lizalove,-40,percentage,Amount Off,order
marielove,-40,percentage,Amount Off,order
nicolelove,-40,percentage,Amount Off,order
nicolettelove,-40,percentage,Amount Off,order
sophielove,-50,percentage,Amount Off,order
valentinalove,-40,percentage,Amount Off,order
DEBORALOVE40,-40,percentage,Amount Off,order
ANNILOVE40,-40,percentage,Amount Off,order
ANNAM40,-40,percentage,Amount Off,order
CHRISTINLOVE40,-40,percentage,Amount Off,order
JENNIFERLOVE40,-40,percentage,Amount Off,order
ZARALOVE40,-40,percentage,Amount Off,order
LOVEANNETT40,-40,percentage,Amount Off,order
loveclara40,-40,percentage,Amount Off,order
loveclaudia40,-40,percentage,Amount Off,order
LOVEDALIA40,-40,percentage,Amount Off,order
SANDYLOVE40,-40,percentage,Amount Off,order
LoveDani40,-40,percentage,Amount Off,order
LOVEELENA40,-40,percentage,Amount Off,order
LOVEFASHIONHIPPIE40,-40,percentage,Amount Off,order
LOVEJANA40,-40,percentage,Amount Off,order
LOVEJANINA40,-40,percentage,Amount Off,order
LOVEACELYA40,-40,percentage,Amount Off,order
LOVEKATARINA40,-40,percentage,Amount Off,order
ROMINALOVE40,-40,percentage,Amount Off,order
